aspect term	category	polarity	text
;slides;null;test questions;e-mails;curve	 teaching teaching exam approachable grading	 negative positive negative negative negative	His lectures are 100+ slides, skips about half of them, rambles on, test questions are very hard/tricky, doesn't reply to e-mails, and no curve.
;exams;class;null	 exam relevant teacher	 negative positive positive	The exams are brutal and come straight from the text, but nevertheless I felt I learned a lot in this class and all credit to Molumby.
;literature course;professor	 teacher teacher	 positive positive	I have never left a review for a professor before, but felt compelled to as I greatly enjoyed Prof Everett's British Literature course.
;null	 teacher	 positive	Awesome
;null	 teacher	 positive	He's very helpful, funny, and nice.
;jokes	 teaching	 negative	Horrible jokes.
;subject	 course	 positive	Interesting subject and love the class.
;pass;null;papers	 attendance answering exam	 positive positive neutral	To pass his class all you have to do is show up, participate, improve, and ask questions and make inquizzitive comments in your papers!
;null	 teacher	 positive	He isn't bad at all.
;comments;slides	 teaching teaching	 negative negative	The comments he makes in class and comments he puts on slides when they are uploaded can be contradictory.
;class	 course	 neutral	His class is relatively difficult but if you are interested in biology you are going to love him.
;class	 relevant	 positive	I learned alot from his class.
;profesor	 teacher	 positive	Great Profesor.
;exams	 exam	 negative	Exams are difficult, tricky questions.
;null	 exam	 negative	he literally said he expects us to know every word.
;assignments	 exam	 neutral	I think there were 8-10 assignments.
;grammar	 teaching	 positive	He will teach you everything about grammar, then expect you to know it.
;class	 course	 positive	Class is pretty easy if you read the materials and study.
;null;null;null	 answering approachable teacher	 positive positive positive	He was extremely caring, helpful and engaging during class.
;professor	 teacher	 negative	DO NOT take calculus 128 with this professor.
;class	 teacher	 negative	Avoid this class if possible, if required for a major I'd say take it honors with Adena.
;null	 approachable	 positive	She was really helpful and looked out for the class.
;null;null	 teacher knowledge	 positive positive	He seems like a cool guy and is extremely knowledgeable.
;lectures;material	 teaching teaching	 positive positive	Does a great job at explaining the material clearly, and her lectures are interesting and engaging.
;teacher	 teacher	 positive	Probably the best teacher i've had since i've been at state.
;null	 grading	 positive	Needless to say that got well over an A.
;null	 course	 positive	It's a lot of fun, but show some kind of interest.
;drafts;grade	 exam exam	 positive positive	He asks you send in rough drafts and then edits them for you to improve your grade!
;null	 teacher	 positive	He's a really nice and cool guy.
;tests	 exam	 negative	His tests are way too hard and I really studied for them.
;class	 teacher	 positive	I'd take any class of his.
;lab reports	 exam	 neutral	Find old lab reports.
;exams;calculator;class	 exam exam attendance	 positive positive positive	The exams are easy if you know how to make good use of your calculator, attend class, and follow the text somewhat.
;discussion section	 answering	 negative	The discussion section is unhelpful but required.
;answers;questions	 exam exam	 negative negative	He gives unclear answers when going over questions so you are left wondering what the right answer is.
;null	 course	 positive	Ha, too easy for words.
;lessons	 teaching	 positive	Prof. Everett has put a huge amount of work into his lessons and it shows.
;noteset	 teaching	 positive	He also has his own condensed noteset for the textbook, for free.
;lectures;tests	 teaching exam	 negative negative	The tests are impossible and his lectures are all over the place.
;class	 course	 neutral	Not too bad of a class.
;professor	 teacher	 negative	Worst professor ever!
;angel notes;attention;tests	 exam attendance exam	 positive positive positive	Read the Angel notes, pay attention in class, and do a little memorizing before tests and you'll do fine.
;subject matter	 teaching	 positive	He brings the subject matter down to an understandable level and at the same time makes it enjoyable and even humerous.
;null	 teacher	 negative	She was constantly condescending to the students.
;material	 teaching	 positive	A huge chunk of material which may be confusing is cleared up after attending a lectures.
;grade;tests;class;book	 grading exam attendance exam	 neutral neutral neutral positive	grade is based on only 4 tests (directly from study guide) and obviously if you don't go to class or read the book you won't do well.
;null	 teacher	 negative	She gave an exam before a single quiz was given.
;mistakes;high school methods;problems	 teaching teaching teaching	 negative negative negative	constant mistakes makes it hard to follow him, high school methods i dont even remember seem to work better than he technical mumbo jumbo ways of solving should be simple problems.
;writing	 exam	 positive	Yes, there is a lot of writing, but its well worth it.
;english credit	 course	 positive	If you just want an easy English credit, this is not the class for you.
;questions;problems;direction	 teaching teaching teaching	 negative negative negative	he doesn't take questions in class, goes over problems way too fast and with no clear direction to them.
;null	 grading	 positive	definitely read and go to lectures and you'll be sure to get an A!
;class	 teaching	 positive	Never bored you in class.
;class	 teacher	 positive	Definitely take your junior writing class with him.
;class	 teaching	 positive	She makes Sociology personal, and that makes the class very interesting.
;class;examples;prof	 teaching teaching teacher	 positive positive positive	This class was great, mainly due to Molumby being an amazing prof.  His enthusiasm and personal examples made this class interesting.
;class	 course	 positive	very easy class.
;teacher	 teacher	 positive	He is an amazing teacher!
;null	 teacher	 positive	I liked him.
;book;labs	 exam exam	 positive positive	The book is helpful but labs are more important on exams.
;course	 course	 positive	A surprisingly challenging course.
;professors;students	 teacher teaching	 positive positive	She is what other professors should look towards as a role model on how to run a class: respectful of her students, very informative, but does NOT allow other students to gain the upper hand during lectures.
;null	 teaching	 positive	Very well presented, with plenty of real life abstraction, humour and language that even non-tech students will understand.
;material;stories	 teaching teaching	 negative negative	and seriously.. just teach the material and stop talking about life stories man.
